id;nome_curso;data_criacao;descricao;logo_curso;logo_curso_content_type;tipo
1;Kansas Kazakhstan payment;2021-05-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;BOOTCAMP
2;Intelligent Wooden Hat Graphic Interface SSL;2021-05-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;MBA
3;supply-chains mobile;2021-05-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;HACKATON
4;Swedish Krona multi-byte;2021-05-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;HACKATON
5;Future Florida;2021-05-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;BOOTCAMP
6;6th generation Graphical User Interface;2021-05-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;BOOTCAMP
7;Azerbaijanian Manat Home Loan Account Bedfordshire;2021-05-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;MBA
8;Generic Granite Cheese Branding Aruban Guilder;2021-05-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;BOOTCAMP
9;Handmade Frozen Gloves;2021-05-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;BOOTCAMP
10;Generic info-mediaries cross-media;2021-05-20;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;SHIFT
