id;codigo_turma;data_criacao;unidade;observacoes
1;Netherlands Antillian Guilder;2021-05-20;copy Handmade e-services;../fake-data/blob/hipster.txt
2;Investment Account purple;2021-05-20;Clothing Junctions compress;../fake-data/blob/hipster.txt
3;Handcrafted CFA Franc BCEAO;2021-05-20;Egyptian Pound Swedish Krona monitoring;../fake-data/blob/hipster.txt
4;Czech Koruna upward-trending innovate;2021-05-20;throughput;../fake-data/blob/hipster.txt
5;Books;2021-05-20;Rubber Small;../fake-data/blob/hipster.txt
6;Lesotho projection Dynamic;2021-05-20;Refined Program;../fake-data/blob/hipster.txt
7;Handmade Plastic Soap Chicken application;2021-05-20;Union North Dakota Road;../fake-data/blob/hipster.txt
8;Incredible Street Streamlined;2021-05-20;explicit HDD Cambridgeshire;../fake-data/blob/hipster.txt
9;Buckinghamshire;2021-05-20;SAS Awesome scalable;../fake-data/blob/hipster.txt
10;Grocery;2021-05-20;didactic Wooden;../fake-data/blob/hipster.txt
